model;del;dyn;pos;sub;thr;win;alpha;iters;negative;pow;size;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
sgns;False;True;False;False;10;7;False;False;15;1;100;1;1;False;0.70;0.2309;0.0190
sgns;False;True;False;False;10;7;False;False;15;1;100;1;1;False;0.80;-0.0815;0.4134
sgns;False;True;False;False;10;7;False;False;15;1;100;1;1;False;0.90;-0.0084;0.9326
sgns;False;False;False;False;50;7;False;False;15;1;100;1;1;False;0.60;0.0274;0.7838
sgns;False;False;False;False;50;7;False;False;15;1;100;1;1;False;0.70;-0.2327;0.0180
sgns;False;False;False;False;50;7;False;False;15;1;100;1;1;False;0.80;-0.0726;0.4663
sgns;False;False;False;False;50;7;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;50;7;False;False;15;1;100;1;1;False;0.60;0.2443;0.0129
sgns;False;True;False;False;50;7;False;False;15;1;100;1;1;False;0.70;0.0202;0.8397
sgns;False;True;False;False;50;7;False;False;15;1;100;1;1;False;0.80;-0.0490;0.6234
sgns;False;True;False;False;50;7;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;False;False;False;100;7;False;False;15;1;100;1;1;False;0.60;-0.0681;0.4944
sgns;False;False;False;False;100;7;False;False;15;1;100;1;1;False;0.70;-0.2046;0.0382
sgns;False;False;False;False;100;7;False;False;15;1;100;1;1;False;0.80;-0.0490;0.6234
sgns;False;False;False;False;100;7;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;100;7;False;False;15;1;100;1;1;False;0.60;0.1779;0.0721
sgns;False;True;False;False;100;7;False;False;15;1;100;1;1;False;0.70;-0.1572;0.1127
sgns;False;True;False;False;100;7;False;False;15;1;100;1;1;False;0.80;-0.0490;0.6234
sgns;False;True;False;False;100;7;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;False;False;False;10;10;False;False;15;1;100;1;1;False;0.60;0.1203;0.2261
sgns;False;False;False;False;10;10;False;False;15;1;100;1;1;False;0.70;-0.1236;0.2137
sgns;False;False;False;False;10;10;False;False;15;1;100;1;1;False;0.80;-0.0907;0.3620
sgns;False;False;False;False;10;10;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;10;10;False;False;15;1;100;1;1;False;0.60;0.1672;0.0915
sgns;False;True;False;False;10;10;False;False;15;1;100;1;1;False;0.70;-0.0082;0.9344
sgns;False;True;False;False;10;10;False;False;15;1;100;1;1;False;0.80;-0.1383;0.1636
sgns;False;True;False;False;10;10;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;False;False;False;50;10;False;False;15;1;100;1;1;False;0.60;-0.0496;0.6185
sgns;False;False;False;False;50;10;False;False;15;1;100;1;1;False;0.70;-0.2293;0.0198
sgns;False;False;False;False;50;10;False;False;15;1;100;1;1;False;0.80;-0.0561;0.5738
sgns;False;False;False;False;50;10;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;50;10;False;False;15;1;100;1;1;False;0.60;0.1422;0.1518
sgns;False;True;False;False;50;10;False;False;15;1;100;1;1;False;0.70;-0.1625;0.1010
sgns;False;True;False;False;50;10;False;False;15;1;100;1;1;False;0.80;-0.0726;0.4663
sgns;False;True;False;False;50;10;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;False;False;False;100;10;False;False;15;1;100;1;1;False;0.60;-0.1447;0.1449
sgns;False;False;False;False;100;10;False;False;15;1;100;1;1;False;0.70;-0.1591;0.1086
sgns;False;False;False;False;100;10;False;False;15;1;100;1;1;False;0.80;-0.0726;0.4663
sgns;False;False;False;False;100;10;False;False;15;1;100;1;1;False;0.90;nan;1.0000
sgns;False;True;False;False;100;10;False;False;15;1;100;1;1;False;0.60;0.0573;0.5653
sgns;False;True;False;False;100;10;False;False;15;1;100;1;1;False;0.70;-0.1452;0.1433
sgns;False;True;False;False;100;10;False;False;15;1;100;1;1;False;0.80;-0.0490;0.6234
sgns;False;True;False;False;100;10;False;False;15;1;100;1;1;False;0.90;nan;1.0000
