model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;True;False;False;100;5;100;15;1;1;False;0.60;0.0537;0.3750
svd;False;True;False;False;100;5;100;15;1;1;False;0.70;0.0483;0.4253
svd;False;True;False;False;100;5;100;15;1;1;False;0.80;0.0497;0.4115
svd;False;True;False;False;100;5;100;15;1;1;False;0.90;0.0549;0.3645
svd;False;False;False;False;10;7;100;1;1;1;False;0.60;0.0570;0.3399
svd;False;False;False;False;10;7;100;1;1;1;False;0.70;0.0249;0.6774
svd;False;False;False;False;10;7;100;1;1;1;False;0.80;-0.0198;0.7404
svd;False;False;False;False;10;7;100;1;1;1;False;0.90;0.0105;0.8604
svd;False;False;False;False;10;7;100;15;1;1;False;0.60;-0.0604;0.3118
svd;False;False;False;False;10;7;100;15;1;1;False;0.70;-0.0283;0.6359
svd;False;False;False;False;10;7;100;15;1;1;False;0.80;-0.0225;0.7069
svd;False;False;False;False;10;7;100;15;1;1;False;0.90;0.0403;0.5004
svd;False;True;False;False;10;7;100;1;1;1;False;0.60;0.0618;0.3007
svd;False;True;False;False;10;7;100;1;1;1;False;0.70;0.0214;0.7203
svd;False;True;False;False;10;7;100;1;1;1;False;0.80;-0.0158;0.7920
svd;False;True;False;False;10;7;100;1;1;1;False;0.90;-0.0336;0.5737
svd;False;True;False;False;10;7;100;15;1;1;False;0.60;-0.0356;0.5511
svd;False;True;False;False;10;7;100;15;1;1;False;0.70;-0.0406;0.4974
svd;False;True;False;False;10;7;100;15;1;1;False;0.80;0.0113;0.8503
svd;False;True;False;False;10;7;100;15;1;1;False;0.90;0.0454;0.4479
svd;False;False;False;False;50;7;100;1;1;1;False;0.60;-0.0828;0.1663
svd;False;False;False;False;50;7;100;1;1;1;False;0.70;-0.0702;0.2410
svd;False;False;False;False;50;7;100;1;1;1;False;0.80;-0.0714;0.2326
svd;False;False;False;False;50;7;100;1;1;1;False;0.90;-0.0121;0.8394
svd;False;False;False;False;50;7;100;15;1;1;False;0.60;0.0221;0.7117
svd;False;False;False;False;50;7;100;15;1;1;False;0.70;0.0482;0.4204
svd;False;False;False;False;50;7;100;15;1;1;False;0.80;0.0450;0.4520
svd;False;False;False;False;50;7;100;15;1;1;False;0.90;0.0544;0.3639
svd;False;True;False;False;50;7;100;1;1;1;False;0.60;-0.0605;0.3122
svd;False;True;False;False;50;7;100;1;1;1;False;0.70;-0.0796;0.1836
svd;False;True;False;False;50;7;100;1;1;1;False;0.80;-0.0860;0.1507
svd;False;True;False;False;50;7;100;1;1;1;False;0.90;-0.0176;0.7692
svd;False;True;False;False;50;7;100;15;1;1;False;0.60;0.0056;0.9258
svd;False;True;False;False;50;7;100;15;1;1;False;0.70;0.0430;0.4727
svd;False;True;False;False;50;7;100;15;1;1;False;0.80;0.0529;0.3773
svd;False;True;False;False;50;7;100;15;1;1;False;0.90;0.0519;0.3857
svd;False;False;False;False;100;7;100;1;1;1;False;0.60;-0.0898;0.1376
svd;False;False;False;False;100;7;100;1;1;1;False;0.70;-0.1030;0.0883
svd;False;False;False;False;100;7;100;1;1;1;False;0.80;-0.0941;0.1195
svd;False;False;False;False;100;7;100;1;1;1;False;0.90;-0.0145;0.8112
svd;False;False;False;False;100;7;100;15;1;1;False;0.60;0.0584;0.3349
svd;False;False;False;False;100;7;100;15;1;1;False;0.70;0.0552;0.3619
svd;False;False;False;False;100;7;100;15;1;1;False;0.80;0.0524;0.3867
svd;False;False;False;False;100;7;100;15;1;1;False;0.90;0.0544;0.3690
svd;False;True;False;False;100;7;100;1;1;1;False;0.60;-0.0926;0.1255
svd;False;True;False;False;100;7;100;1;1;1;False;0.70;-0.0893;0.1395
svd;False;True;False;False;100;7;100;1;1;1;False;0.80;-0.1350;0.0252
svd;False;True;False;False;100;7;100;1;1;1;False;0.90;-0.0444;0.4636
svd;False;True;False;False;100;7;100;15;1;1;False;0.60;0.0553;0.3613
svd;False;True;False;False;100;7;100;15;1;1;False;0.70;0.0555;0.3591
svd;False;True;False;False;100;7;100;15;1;1;False;0.80;0.0507;0.4024
svd;False;True;False;False;100;7;100;15;1;1;False;0.90;0.0557;0.3578
svd;False;False;False;False;10;10;100;1;1;1;False;0.60;0.0427;0.4756
svd;False;False;False;False;10;10;100;1;1;1;False;0.70;0.0156;0.7942
svd;False;False;False;False;10;10;100;1;1;1;False;0.80;-0.0074;0.9013
svd;False;False;False;False;10;10;100;1;1;1;False;0.90;0.0051;0.9317
svd;False;False;False;False;10;10;100;15;1;1;False;0.60;-0.0494;0.4087
svd;False;False;False;False;10;10;100;15;1;1;False;0.70;-0.0016;0.9787
svd;False;False;False;False;10;10;100;15;1;1;False;0.80;0.0451;0.4507
svd;False;False;False;False;10;10;100;15;1;1;False;0.90;0.0393;0.5107
