model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;True;False;False;50;4;100;1;1;1;False;0.80;-0.1005;0.3124
svd;False;True;False;False;50;4;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;True;False;False;50;4;100;15;1;1;False;0.60;0.0882;0.3758
svd;False;True;False;False;50;4;100;15;1;1;False;0.70;0.1064;0.2847
svd;False;True;False;False;50;4;100;15;1;1;False;0.80;0.1130;0.2559
svd;False;True;False;False;50;4;100;15;1;1;False;0.90;0.1152;0.2465
svd;False;False;False;False;100;4;100;1;1;1;False;0.60;0.0160;0.8724
svd;False;False;False;False;100;4;100;1;1;1;False;0.70;-0.0483;0.6279
svd;False;False;False;False;100;4;100;1;1;1;False;0.80;-0.1553;0.1172
svd;False;False;False;False;100;4;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;100;4;100;15;1;1;False;0.60;0.0706;0.4785
svd;False;False;False;False;100;4;100;15;1;1;False;0.70;0.0762;0.4441
svd;False;False;False;False;100;4;100;15;1;1;False;0.80;0.0824;0.4079
svd;False;False;False;False;100;4;100;15;1;1;False;0.90;0.0881;0.3760
svd;False;True;False;False;100;4;100;1;1;1;False;0.60;0.0106;0.9157
svd;False;True;False;False;100;4;100;1;1;1;False;0.70;-0.0252;0.8004
svd;False;True;False;False;100;4;100;1;1;1;False;0.80;-0.1409;0.1556
svd;False;True;False;False;100;4;100;1;1;1;False;0.90;nan;1.0000
svd;False;True;False;False;100;4;100;15;1;1;False;0.60;0.0485;0.6270
svd;False;True;False;False;100;4;100;15;1;1;False;0.70;0.0597;0.5492
svd;False;True;False;False;100;4;100;15;1;1;False;0.80;0.0743;0.4557
svd;False;True;False;False;100;4;100;15;1;1;False;0.90;0.0784;0.4310
svd;False;False;False;False;10;5;100;1;1;1;False;0.60;0.0651;0.5135
svd;False;False;False;False;10;5;100;1;1;1;False;0.70;0.0419;0.6741
svd;False;False;False;False;10;5;100;1;1;1;False;0.80;0.1064;0.2848
svd;False;False;False;False;10;5;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;10;5;100;15;1;1;False;0.60;-0.0741;0.4569
svd;False;False;False;False;10;5;100;15;1;1;False;0.70;-0.0777;0.4356
svd;False;False;False;False;10;5;100;15;1;1;False;0.80;-0.1380;0.1643
svd;False;False;False;False;10;5;100;15;1;1;False;0.90;-0.1133;0.2544
svd;False;True;False;False;10;5;100;1;1;1;False;0.60;-0.0217;0.8277
svd;False;True;False;False;10;5;100;1;1;1;False;0.70;0.0298;0.7650
svd;False;True;False;False;10;5;100;1;1;1;False;0.80;0.0309;0.7564
svd;False;True;False;False;10;5;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;True;False;False;10;5;100;15;1;1;False;0.60;-0.1021;0.3048
svd;False;True;False;False;10;5;100;15;1;1;False;0.70;-0.1003;0.3135
svd;False;True;False;False;10;5;100;15;1;1;False;0.80;-0.0172;0.8630
svd;False;True;False;False;10;5;100;15;1;1;False;0.90;-0.0020;0.9839
svd;False;False;False;False;50;5;100;1;1;1;False;0.60;0.0831;0.4037
svd;False;False;False;False;50;5;100;1;1;1;False;0.70;0.0452;0.6506
svd;False;False;False;False;50;5;100;1;1;1;False;0.80;-0.0628;0.5283
svd;False;False;False;False;50;5;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;50;5;100;15;1;1;False;0.60;0.1157;0.2445
svd;False;False;False;False;50;5;100;15;1;1;False;0.70;0.1165;0.2413
svd;False;False;False;False;50;5;100;15;1;1;False;0.80;0.1220;0.2196
svd;False;False;False;False;50;5;100;15;1;1;False;0.90;0.1236;0.2137
svd;False;True;False;False;50;5;100;1;1;1;False;0.60;-0.0028;0.9773
svd;False;True;False;False;50;5;100;1;1;1;False;0.70;0.0069;0.9448
svd;False;True;False;False;50;5;100;1;1;1;False;0.80;-0.0620;0.5341
svd;False;True;False;False;50;5;100;1;1;1;False;0.90;nan;1.0000
svd;False;True;False;False;50;5;100;15;1;1;False;0.60;0.0873;0.3804
svd;False;True;False;False;50;5;100;15;1;1;False;0.70;0.1043;0.2946
svd;False;True;False;False;50;5;100;15;1;1;False;0.80;0.1147;0.2486
svd;False;True;False;False;50;5;100;15;1;1;False;0.90;0.1156;0.2447
svd;False;False;False;False;100;5;100;1;1;1;False;0.60;0.0187;0.8511
svd;False;False;False;False;100;5;100;1;1;1;False;0.70;-0.0375;0.7066
svd;False;False;False;False;100;5;100;1;1;1;False;0.80;-0.1666;0.0925
svd;False;False;False;False;100;5;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;100;5;100;15;1;1;False;0.60;0.0753;0.4495
svd;False;False;False;False;100;5;100;15;1;1;False;0.70;0.0829;0.4051
svd;False;False;False;False;100;5;100;15;1;1;False;0.80;0.0865;0.3849
svd;False;False;False;False;100;5;100;15;1;1;False;0.90;0.0898;0.3671
svd;False;True;False;False;100;5;100;1;1;1;False;0.60;0.0124;0.9009
svd;False;True;False;False;100;5;100;1;1;1;False;0.70;-0.0156;0.8755
svd;False;True;False;False;100;5;100;1;1;1;False;0.80;-0.1501;0.1303
svd;False;True;False;False;100;5;100;1;1;1;False;0.90;nan;1.0000
svd;False;True;False;False;100;5;100;15;1;1;False;0.60;0.0909;0.3612
svd;False;True;False;False;100;5;100;15;1;1;False;0.70;0.0982;0.3239
svd;False;True;False;False;100;5;100;15;1;1;False;0.80;0.1083;0.2763
svd;False;True;False;False;100;5;100;15;1;1;False;0.90;0.1152;0.2466
svd;False;False;False;False;10;7;100;1;1;1;False;0.60;0.0764;0.4429
svd;False;False;False;False;10;7;100;1;1;1;False;0.70;0.0885;0.3738
svd;False;False;False;False;10;7;100;1;1;1;False;0.80;0.0972;0.3288
svd;False;False;False;False;10;7;100;1;1;1;False;0.90;0.0929;0.3505
svd;False;False;False;False;10;7;100;15;1;1;False;0.60;-0.0182;0.8553
svd;False;False;False;False;10;7;100;15;1;1;False;0.70;-0.0156;0.8757
svd;False;False;False;False;10;7;100;15;1;1;False;0.80;-0.0048;0.9618
svd;False;False;False;False;10;7;100;15;1;1;False;0.90;0.0030;0.9760
svd;False;True;False;False;10;7;100;1;1;1;False;0.60;0.0104;0.9168
svd;False;True;False;False;10;7;100;1;1;1;False;0.70;0.0321;0.7475
svd;False;True;False;False;10;7;100;1;1;1;False;0.80;0.0558;0.5753
svd;False;True;False;False;10;7;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;True;False;False;10;7;100;15;1;1;False;0.60;-0.0330;0.7405
svd;False;True;False;False;10;7;100;15;1;1;False;0.70;-0.0048;0.9616
svd;False;True;False;False;10;7;100;15;1;1;False;0.80;0.0127;0.8990
svd;False;True;False;False;10;7;100;15;1;1;False;0.90;0.0085;0.9322
svd;False;False;False;False;50;7;100;1;1;1;False;0.60;0.1125;0.2578
svd;False;False;False;False;50;7;100;1;1;1;False;0.70;0.0519;0.6023
svd;False;False;False;False;50;7;100;1;1;1;False;0.80;-0.0526;0.5974
svd;False;False;False;False;50;7;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;50;7;100;15;1;1;False;0.60;0.0914;0.3588
svd;False;False;False;False;50;7;100;15;1;1;False;0.70;0.1064;0.2846
svd;False;False;False;False;50;7;100;15;1;1;False;0.80;0.1216;0.2210
svd;False;False;False;False;50;7;100;15;1;1;False;0.90;0.1255;0.2066
svd;False;True;False;False;50;7;100;1;1;1;False;0.60;0.0377;0.7057
svd;False;True;False;False;50;7;100;1;1;1;False;0.70;0.0289;0.7722
svd;False;True;False;False;50;7;100;1;1;1;False;0.80;-0.1160;0.2432
svd;False;True;False;False;50;7;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;True;False;False;50;7;100;15;1;1;False;0.60;0.0935;0.3474
svd;False;True;False;False;50;7;100;15;1;1;False;0.70;0.1135;0.2535
svd;False;True;False;False;50;7;100;15;1;1;False;0.80;0.1207;0.2244
svd;False;True;False;False;50;7;100;15;1;1;False;0.90;0.1240;0.2122
svd;False;False;False;False;100;7;100;1;1;1;False;0.60;0.0663;0.5058
svd;False;False;False;False;100;7;100;1;1;1;False;0.70;-0.0137;0.8908
svd;False;False;False;False;100;7;100;1;1;1;False;0.80;-0.1578;0.1113
svd;False;False;False;False;100;7;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;100;7;100;15;1;1;False;0.60;0.0159;0.8732
svd;False;False;False;False;100;7;100;15;1;1;False;0.70;0.0228;0.8194
svd;False;False;False;False;100;7;100;15;1;1;False;0.80;0.0255;0.7985
svd;False;False;False;False;100;7;100;15;1;1;False;0.90;0.0271;0.7856
svd;False;True;False;False;100;7;100;1;1;1;False;0.60;0.0035;0.9717
svd;False;True;False;False;100;7;100;1;1;1;False;0.70;-0.0050;0.9599
svd;False;True;False;False;100;7;100;1;1;1;False;0.80;-0.1536;0.1213
svd;False;True;False;False;100;7;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;True;False;False;100;7;100;15;1;1;False;0.60;0.0698;0.4837
svd;False;True;False;False;100;7;100;15;1;1;False;0.70;0.0754;0.4490
svd;False;True;False;False;100;7;100;15;1;1;False;0.80;0.0828;0.4057
svd;False;True;False;False;100;7;100;15;1;1;False;0.90;0.0864;0.3853
